LULING STREETS,LULING REPORTS
QUEENIE DR,"Advised, lift station at Monsanto and St. Maria in Luling is operational, but the red light will flash due to high water."
REFUGE DR,Reported flooding near 106 Asphodel in Luling. 985-785-8268.
REX ST,Advised; there is Street flooding on Ashton Plantation Blvd. in Luling.
RISTROPH ST,"Advised that Barton Ave, Luling between LA 18 & Union Pacific Railroad tracks is flooded."
RIVER OAKS DR,"Advised the pumps are working in Ashton Plantation, Luling and red light is due to high water."
RIVER RD,Reported high water at 363 Davis Dr. in Luling.
ROLAND CT,"High water starting to collect at the Rose Down Golf Course in Willodale., Luling"
ROSELAND DR,"785-6506; Advised that Ivy Lane, Luling is flooded."
RUE SUCRE,"Advised flooding at 111 West Heather Drive, Luling and water halfway up on driveway."
S LAKE DR,"Advised ditches are full at 34 East Levert Drive., Luling"
SANTA CRUZ CT,"Advised street flooding at 228 Wade St., Luling."
SAVANNA DR,"Advised that Lakewood Dr., Luling, Birch Street, St John Street and Wanda Street are flooded. Ditches are full on Beaupre Drive."
SCHOOL BOARD LN,Advised flooding on Celia Drive. Luling
SCHOOL ST,"Advised flooding at 922 Kinler Street, Luling."
SELLERS AVE,Oak St. St. Rose and Luling Estates high water complaint.
SEYMORE LN,"High water in the 1200 block of Paul Fredrick, Luling"
SHEILA CT,"Ashton Plantation, Luling has high water."
SINGS LN,"High water complaint Ivy Lane, Luling."
SOPHIA DR,"High water Lakewood West., Luling"
ST. ANTHONY ST,"High water Barton Ave, Luling"
ST. CHARLES BLVD,"High water complaint 308 St. John., Luling"
ST. JOHN ST,"High water complaint 301 Maryland Dr., Luling"
ST. MARIA ST,High water complaint Milling & 6th Luling.
ST. NICHOLAS ST,High water at 117 Magnolia Ct. Luling
STEVEN CT,"High water in the 300 block of Mimosa Ave, Luling."
SUGARHOUSE RD,"High water on Wade St, Luling."
SUWANNEE DR,"High water on Coronado Ave, Luling."
TALBOT DR,"High water on 200 block of Maryland Dr, Luling. Blocked culverts."
TERRI DR,"High water on Ashton, Luling would like it closed. Advised 105."
TEXACO RD,High water complaint Monsanto Luling. Advised 105.
TUPELO CT,"High water on West Levert, Luling. Concerned about flooding."
VALENCIA DR,"High water on Oak Lane, 400 block., Luling"
VIAL LN,"High water complaint 206 Santa Cruz, Luling, Advised Shawn."
W HEATHER DR,"High water on Barton Ave, Luling"
W LEVERT DR,"High water on St. Maria, Luling."
WADE ST,High water complaint Wanda might have water in house at 208 Wanda. Luling
WALNUT PL,"High water on 903 Paul Frederick, Luling"
WANDA ST,"High water 100 block of Wade St, Luling."
WARREN DR,"Advised the 1000 block of Kinler St., Luling is flooded."
WEBRE LN,"326 Santa Cruz Ct, Luling 785-8636; street flooding."
WEINNIG DR,"Advised high water on 100 block of Wade St., Luling."
WEST CT,"Advised the gate at Hackberry St, Luling is open and Ashton Boulevard is flooded from LA18 to railroad tracks."
WILLARD ST,"Advised high water at 1108 Kinler St., Luling."
WILLOWDALE BLVD,"High water, 200 block of Davis Dr. in Luling. Garbage cans blocking drainage. 504-975-1602. (relayed to Public Works, Shawn)."
WILLOWRIDGE DR,"Advised high water on DeSoto Dr, Luling."
WISTERIA LN,"Advised flooding at 424 Oak Lane., Luling"
ZEE ANN DR,"High water, 713 Milling Ave. in Luling. 985-785-6879. (relayed to Public Works, Shawn)."
,Advised flooding on Luling Estates Drive.
,Reported high water on US-61 near St. Charles Parish / Jefferson Parish line. 504-491-7966. Luling
,"308 DeSoto Dr, Luling 785-1253; four inches of water in home."
,"Request for barricades at intersection of West Heather Dr. and St. John St. in Luling due to high water. (relayed to Public Works, Shawn)"
,"High water on Barton Ave, Luling; have cars slow down. 392 Barton Ave. 985-785-1140"
,"Reported high water on 100 block of Wade St. in Luling. (relayed Public Works, Shawn)."
,Reported high water and sewer backup in master bedroom. 309 Desoto Dr. in Luling. 504-236-8966.
,"Reported high water on 200 block of Monsanto in Luling, barricades needed. 985-785-8479. (relayed Public Works, Shawn)."
,"Reported neighbor at 115 Wade St. in Luling has water in house. Their last name is Deshotels and their number is 985-785-6389. Barricades requested for 100 block. (relayed Public Works, Shawn)."
,"High water on Santa Cruz, Luling."
,"Advised flooding at 827 Milling Avenue, Luling"
,"High water at 203 Santa Cruz, Luling."
,"Advised canal overflowing along Sugarhouse Road and flooding Post St, Luling."
,"High water at Sugarhouse and Post St, Luling."
,"High water on St. Nicholas, Luling, near Mimosa Elementary."
,"Advised; water in home at 419 Wade St., Luling (504) 621-7007."
,"High water near 419 Paul Fedrick, Luling (504) 701-2745."
,Water in home at 133 Mimosa St. in Luling (985) 785-2953.
,High water at 1253 Luling Estates; requesting sandbags. 985-785-1961
,"Reported a flooded home at 233 Mimosa Avenue, Luling."
,"High water on Roseland Dr, Luling."
,"Water in home at 1220 Paul Maillard Rd, Luling Apt 8 (504) 259-4668."
,"High water at 6th and Milling St., Luling"
,Water in home at 230 Courville Dr. in Luling (relayed to Dan in Public Works)
,"Advised; high water at 11 Azalea Ct. in Willowdale, Luling (985) 785-7841 (Relayed to Dan in Public Works)"
,"Logged: 12/21/2009 Calling in damage: Flooded home: 313 Mimosa Ave, Luling 985-785-2231"
,"Logged: 12/21/2009 Calling in damage: Roof damage, ceiling damage, flooding 120 Roland Ct, Luling. 985-308-1105; 90 years old"
,"Logged: 12/21/2009 Calling in damage: Flooding at 205 Mimosa Ave, Luling 985-785-2947"
,"319 DeSoto Dr, Luling. is flooded."
,"Flooded house at 409 Wade St., Luling"
,Calling in damage: House flooded at 320 Santa Cruz Court in Luling. Put on Red Cross list.
,Calling in damage: High water at 419 Wade St. in Luling. Ditch needs to be dug deeper. 504-621-7007.
,Calling in damage: High water at 310 North Oak Ct. in Luling.
,Calling in damage: High water at 1514 Paul Mallard Rd. in Luling. Put on Red Cross list.
,Calling in damage: Water in home at 313 Mimosa Ave. in Luling. Put on Red Cross list.
,"Calling in damage: sewer backup throughout the flooding: 309 Desoto Dr, Luling."
,"Calling in damage: flooded home: 1229 Bourne Ln, Luling. 985-331-8855"
,Calling in damage: House damage due to flooding at 1022 Gassen St. in Luling. 985-785-9067. Put on Red Cross list.
,Calling in damage: House damage due to flooding at 306 Desoto Dr. in Luling. Put on Red Cross list.
,Calling in damage: House damage due to flooding at 204 Perryl Ln. in Luling. Put on Red Cross list.
,Calling in damage: House damage due to flooding at 14 Michael Dr. in Luling. Put on Red Cross list.
,Calling in damage: House damage due to flooding at 320 Santa Cruz in Luling. Put on Red Cross.
,"Calling in damage: flooded home; 3209 Paul Maillard Rd, Luling 985-381-3725"
,"High water on Cypress Dr, Choctaw Dr, Willowridge., Luling"
,Advised; street flooding in the area of 106 Tupelo Ct. in Willodale. Luling
,"High water on the street, requesting drainage culvert cleaned near 30 Palm Place, Luling, Palm and Bernice."
,"Advised; to call Monique because at 509 Lauve Ln, Luling. the residents have sewer in the home. Advised; the high water needs to go down in that area."
,"High water on Davis and Barton Ave., Luling"
,Requested high water signs on LA-18 between Ama and Luling.
,High water at Estate Dr. in Luling.
,High water in the Street at 353 Courville Dr. in Luling.
,High water in the street at Luling Estates.
,High water near his home at 200 Santa Cruise Dr. in Luling.
,High water on Ashton Blvd. Advised Eric Z. Luling
,"High water on Milling Ave, Luling. Advised Eric Z."
,"High water on Courville Dr, Luling. Advised Eric Z."
,"High water on Collier Dr, Luling. Advised Eric Z."
,High water at I-310 and LA18. Advised Eric Z. Luling
,Advised; High water on Birch St. and St. John St. in Luling.
,"Advised, lift station light on Lakewood Dr., Luling is due to high water."
,"High water in the 100 Block of Wade St., Luling"
,"Advised of high water in the ditches at 33 East Levert St. Willowdale Blvd, Luling."
,"Advised street flooding on Barton Ave, Luling between the railroad tracks."
,High water on 1000 block of Kinler St. in Luling due to pipes pushed in ditch.
,"Advised, flashing lights down Lakewood Dr., Luling and Lagittuda are due to high water."
,Reported high water at 153 North Oak Ct. off Paul Maillard Rd. in Luling. 985-630-9563.
,"Request high water signs for LA18 and Barton Ave, Luling."
,Barricades at LA 18 and Ellington St. Luling High Water signs.
,"Advised; high water on LA-18 near Ford Ln, Luling. west bound."
,"Advised high water on River Road in the curve before Monsanto, Luling believes that a catch basin might be blocked."
,High water at 353 Courville Dr. in Luling.
,"High water on Davis Dr, Luling."
,"High water at Riverbend and River Road, St. Rose and Barton, Luling."
,"High water at 124 Barton Ave, Luling. Requesting people slow down."
,High water is approaching his home at 206 Santa Cruz Dr. in Luling (985) 785-1571.
,"High water on Monsanto Ave, Luling; requesting barricades due to people driving in high water."
,High Water at 1123 Gassen St. in Luling (985) 785-8539.
,High water at 507 Terry Dr. in Luling. Advised; cousins pumps appear to be having a problem.
,"High water on Woodland Dr. Luling, 2 foot high."
,High Water on Monsanto St. and he is requesting barricades due to water in garage at 218 Monsanto St. in Luling.
,"High water on Monsanto Ave, Luling. at the temporary pump."
,Reported street flooding on Courville Dr. in Luling. 985-210-2330.
,"High water at 738 Paul Maillard, Luling"
,"High water on Monsanto Ave, Luling."
,Advised of high water on ramp going towards the bridge on Hwy 18 in Luling.
,"Advised of high water on Milling Ave, Luling. In all the lower parts of the street."
,"High water on Asphodel and Albania, Luling"
,Advised high water Maryland Dr. Luling.
,"Requesting high water barricades at 138 Mimosa Ave, Luling. Cars speeding through water, pushing it into peoples yards."
,"Advised of high water Birch St and St. John and on Lakewood Dr., Luling at Ivy Ct."
,Advised of high water on Bradwall St. in Luling
,"High water on Paul Maillard Rd from hospital to north tracks. Also Monsanto Ave, Luling has High water, and Primrose canal is about to overflow."
,"High water at 738 Paul Maillard, Luling."
,"Advised that the deputy at Paul Frederick, Luling said that they are shutting down all of Paul Frederick, Luling due to high water."
,"High water at 130 Gassen St, Luling. Backing up near RR tracks."
,"High water in the 300 block of Courville Dr., Luling."
,"Advised high water at 390 Barton Avenue which is near Chestnut, Luling Street."
,"Advised that Barton Ave, Luling is flooded and everything else on the westbank is clear."
,"Advised; high water near Luling Bridge on LA-18. (Relayed to Murray Public Works, Ursula 911, And Dept. of Transportation & Development )."
,Advised; high water on the roadway at Birch St. and St. John St. in Luling.
,Reported one foot of high water at River Rd. and Barton Ave. in Luling.
,Reported high water near Primrose and Lagattuta in Luling. 504-495-7839.
,Reported high water near Desoto and Coronada in Luling. 985-785-0582.
,Reported high water down Ivy Ln. off Lakewood in Luling. 985-785-6506.
,Reported high water near 203 Maryland Dr. in Luling. 985-331-8972.
,"Advised; high water on Marcia Dr, Luling. (relayed to Public Works Kevinn Moore)."
,Advised of high water on Monsanto Dr. in Luling.
,Advised of high water on Oak St. in St. Rose and Wade St. in Luling.
,"Advised of high water on Wanda St, Luling. in the 100 block."
,Advised of units going check high water complaints on Wanda St. and Myrtle St. and Breaux St. in Luling.
,High water on Oak Lane in Luling.
,"926 Paul Frederick, Luling, high water."
,"Water in the house at 323 Barton Ave, Luling."
,"Possible water in home at 323 Barton Ave, Luling - Relayed to Monique and Stanley Keller)"
,Advised; of high water at 1040 Luling Estates Dr. Call back #: 985-210-2590
,Advised; high water at 1040 Luling Estates Dr. in Luling (985) 210-2590.
,"124 Louis the First, Luling 504-220-0787; high water and thinks there is a blocked culvert."
,"Advised high water on Monsanto Ave, Luling and concerned about the diesel pumps not working."
,Advised; high water at Steve Ct. in Luling. Advised; high water Turtle pound in St. Rose (relayed to Lee at Public Works).
,Advised; Deputy request high water sign at Bradwall St and LA-18 in Luling.
,"1041 Luling Estates, flooded home (given to Rennan)"
,"Advised that Barton Ave, Luling is flooded between River Road and the Union Pacific Railroad tracks."
,Advised that Luling Estates Drive is flooded.
,"Update: Wastewater issues at 1014 Gassen St, Luling. are due to high water."
,"Tree down in ditch, causing High water at 913-917 Paul Frederick, Luling. 985-210-5599"
,1040 Luling Estates Drive 331-0264; Advised high water in the street.
,"Advised that Barton Ave, Luling is flooded from River Road to the Union Pacific Railroad tracks."
,"High water in the area of 558 Cypress Dr, Willowridge, Luling. 850-288-0446"
,Advised; high water in ditch due to a pop up shower at Ivy Lan in Luling.
,"Advised, High water in her yard, 1040 Luling Estates Dr."
,"Reported high water on Barton Ave, Luling. between the railroad tracks."
,"High water in the ditch at 312 Barton Ave, Luling."
,"Advised, clogged drain is creating flooding in parking lot near Paul Maillard Rd. and Hall St. in Luling."
,"Advised the lift station near the Walgreens has high water so it will take time to pump down. Also, the lift station by the fire station on Paul Maillard and lift station on Post St, Luling both have high water."
,"203 Maryland Dr., Luling, sewer back up, high water in the street."
,"High water at 635 Willowdale Blvd, Luling. the canal along the hurricane protection levee is about to run over."
,"Water leak at 404 Milling St, Luling. is flooding the yard."
,Advised that Post St. in Luling has high water.
,High water in the area of Luling Estates Drive.
,Reported high water in front of 121 Ivy Ln. in Luling. 985-785-6506
,Reported high water near 1040 Luling Estates Dr.
,"Advised of flooding on Mongrue Street, Luling"
,"Advised of street flooding at 121 Ivy Lane in Luling, Lakewood Subdivision."
,"Advised of street flooding on Barton Ave, Luling between River Rd and the tracks closest to River Rd."
,Advised of high water at 306 Luling Estates Luling
,"Ivy Lane, Luling is flooded."
,"Advised high water on the roadway at Barton Ave, Luling from LA-18 to the railroad tracks."
,Advised high water on the roadway at Lakewood Drive in Luling and West Heather Drive.
,Advised deputies are requesting Barricades at the 100 block of River Oaks Drive in Luling and Barton Ave. Advised of high water on Elm Street in Hahnville.
,"High water at 106 Wade St., Luling and he heard that a pump is not running from wastewater."
,Advised they are requesting high water signs at Celia Drive and Barton Ave in Luling.
,Update: red light at Post and Milling Ave. in Luling is due to high water.
,"Reporting high water at Luling Ave and Mongrove Street, 804 Luling Avenue. Contact: 504-764-1842. Reported to Dan Domengeaux"
,"Reporting high water at 126 Louis the First street, Luling. Culvert Plugged. Reported to Dan Domengeaux."
,"Reporting street flooding at Lakewood Dr., Luling and Ivy Lane, Luling. Contact: 785-6506."
,Reported driveway collapse due to culvert flooding at 804 Luling Ave. 985-722-4463
,Reporting high water at 1040 Luling Estates Drive. Contact: 985-210-2590.
,"Reporting high water at Coronado and Santa Cruz Ct, Luling. Contact: 504-458-4884."
,Requesting high water sign at 310 & LA-18. (Luling)
,"Reporting high water in the 200-300 block of Oak Ln, Luling. Contact: 785-1387."
,Advised high water signs needed at the 100 block of Barton Ave in Luling.
,"High Water coming over the roadway on River Road in front of Monsanto, Luling."
,"Advised of high water/flooded street @ 1040 Luling Estates Dr., Luling."
,"310 Desoto Drive, Luling 785-0582; high water."
,"Advised that citizen Jennifer Leblanc at 126 Lakewood Dr., Luling Apt 43 is having a water flooding issue due to the residence upsatirs. Advised she can not reach the landlord. (985) 634-4779."
,"High water on Barton Ave, Luling, could you have someone check it."
,"Notified of high water in 1300 block of Paul Frederick, Luling."
,"Update: all manhole backups on Davis Dr, Luling. and Barton Ave. are due to high water."
,"309 Santa Cruz Drive, Luling 785-0404; high water in the front and back yards."
,"227 North Oaks Court, Luling 785-8533; high water in the canal behind her house."
,"Advised, they are closing the sector gates at Pier 90 due to high water. 504-559-8650 (Luling)"
,Advised high water in the ditch with water not moving in the area of Willodale Blvd and Michael Drive in Luling.
,"Advised of high water about two inches of standing water on the roadway at Barton Ave, Luling from the railroad tracks to LA-18. Also tree down in the yard not roadway of 318 and 320 Barton Ave, Luling."
,Advised of high water on Barton Avenue in Luling close to River Road.
,Advised of high water at 318 Evelyn Dr. in Luling. 555-555-5555
,Advised of high water on Davis Dr. in Luling
,Advised high water at 412 Davis Dr. Luling. 555-555-5555
,"Advised of high water 300 block of Davis Dr, Luling."
